timestamp,src_ip,dst_ip,dst_port,protocol,bytes,label
2025-09-14T21:03:12,10.0.0.12,192.0.2.5,80,TCP,824,normal
2025-09-14T21:03:47,10.0.0.33,192.0.2.22,443,TCP,1120,normal
2025-09-14T21:04:03,10.0.0.18,192.0.2.17,53,UDP,640,normal
2025-09-14T21:04:15,10.0.0.27,192.0.2.9,8080,TCP,940,normal
2025-09-14T21:04:55,10.0.0.41,192.0.2.11,22,TCP,735,normal
2025-09-14T21:05:00,10.0.0.25,192.0.2.33,4444,TCP,781200,anomaly
2025-09-14T21:05:01,10.0.0.25,192.0.2.33,4444,TCP,803500,anomaly
2025-09-14T21:05:02,10.0.0.25,192.0.2.33,4444,TCP,845900,anomaly
2025-09-14T21:05:34,10.0.0.13,192.0.2.8,123,UDP,540,normal
2025-09-14T21:06:28,10.0.0.46,192.0.2.19,443,TCP,1350,normal
